time,car,microbus,autobus,camion
2015-03-25 10:05:00,18,1,5,0
2015-03-25 10:06:00,14,5,3,3
2015-03-25 10:07:00,14,4,5,1
2015-03-25 10:08:00,14,2,4,1
2015-03-25 10:09:00,6,7,1,0
2015-03-25 10:10:00,21,4,2,1
2015-03-25 10:11:00,23,4,0,0
2015-03-25 10:12:00,21,2,2,0
2015-03-25 10:13:00,28,3,0,1
2015-03-25 10:14:00,22,1,0,1
2015-03-25 10:15:00,13,4,2,0
2015-03-25 10:16:00,20,2,0,2
2015-03-25 10:17:00,10,3,2,3
2015-03-25 10:18:00,14,3,1,0
2015-03-25 10:19:00,18,4,2,1
2015-03-25 10:20:00,15,6,1,0
2015-03-25 10:21:00,22,2,1,1
2015-03-25 10:22:00,18,2,1,1
2015-03-25 10:23:00,11,2,2,0
2015-03-25 10:24:00,18,3,4,1
2015-03-25 10:25:00,12,2,4,1
2015-03-25 10:26:00,20,2,3,3
2015-03-25 10:27:00,2,1,1,0
2015-03-25 10:30:00,10,4,2,0
2015-03-25 10:31:00,19,3,2,1
2015-03-25 10:32:00,13,4,3,1
2015-03-25 10:33:00,19,3,3,0
2015-03-25 10:34:00,12,3,1,1
2015-03-25 10:35:00,8,0,2,0
2015-03-25 10:36:00,17,4,2,1
2015-03-25 10:37:00,14,4,0,1
2015-03-25 10:38:00,18,1,1,0
2015-03-25 10:39:00,5,3,0,2
2015-03-25 10:40:00,17,3,2,0
2015-03-25 10:41:00,15,1,0,1
2015-03-25 10:42:00,21,5,0,3
2015-03-25 10:43:00,14,2,3,0
2015-03-25 10:44:00,25,2,2,1
2015-03-25 10:45:00,17,7,1,1
2015-03-25 10:46:00,8,1,3,1
2015-03-25 10:47:00,14,4,2,1
2015-03-25 10:48:00,13,3,2,0
2015-03-25 10:49:00,16,2,3,0
2015-03-25 10:50:00,12,4,3,1
2015-03-25 10:51:00,10,3,2,1
2015-03-25 10:52:00,14,3,2,4
2015-03-25 10:53:00,15,4,1,2
2015-03-25 10:54:00,17,1,0,0
2015-03-25 10:55:00,10,4,0,0
2015-03-25 10:56:00,12,2,0,0
2015-03-25 10:57:00,8,2,0,1
2015-03-25 11:00:00,14,2,0,1
2015-03-25 11:01:00,14,4,2,0
2015-03-25 11:02:00,8,2,0,2
2015-03-25 11:03:00,14,4,0,0
2015-03-25 11:04:00,14,1,1,0
2015-03-25 11:05:00,6,2,3,1
2015-03-25 11:06:00,11,2,6,1
2015-03-25 11:07:00,11,3,2,2
2015-03-25 11:08:00,15,2,1,0
2015-03-25 11:09:00,10,2,2,1
2015-03-25 11:10:00,10,2,1,1
2015-03-25 11:11:00,9,2,3,1
2015-03-25 11:12:00,15,4,0,1
2015-03-25 11:13:00,13,1,3,0
2015-03-25 11:14:00,15,0,3,1
2015-03-25 11:15:00,13,7,5,0
2015-03-25 11:16:00,22,5,1,1
2015-03-25 11:17:00,20,2,0,2
2015-03-25 11:18:00,17,3,2,0
2015-03-25 11:19:00,17,1,1,0
2015-03-25 11:20:00,9,3,1,1
2015-03-25 11:21:00,13,3,2,1
2015-03-25 11:22:00,12,3,0,0
2015-03-25 11:23:00,8,2,2,1
2015-03-25 11:24:00,7,3,3,0
2015-03-25 11:25:00,7,5,2,0
2015-03-25 11:26:00,12,2,1,0
2015-03-25 11:27:00,8,2,2,0
2015-03-25 11:28:00,12,5,1,0
2015-03-25 11:29:00,23,4,2,1
2015-03-25 11:30:00,13,2,1,0
2015-03-25 11:31:00,7,1,5,0
2015-03-25 11:32:00,15,5,3,0
2015-03-25 11:33:00,7,5,2,0
2015-03-25 11:34:00,17,4,0,0
2015-03-25 11:35:00,15,3,0,2
2015-03-25 11:36:00,12,3,1,0
2015-03-25 11:37:00,13,4,2,0
2015-03-25 11:38:00,9,4,1,0
2015-03-25 11:39:00,12,2,1,0
2015-03-25 11:40:00,10,2,1,0
2015-03-25 11:41:00,9,3,0,1
2015-03-25 11:42:00,12,4,4,0
2015-03-25 11:43:00,17,0,2,0
2015-03-25 11:44:00,5,4,2,0
2015-03-25 11:45:00,16,4,1,0
2015-03-25 11:46:00,16,3,1,0
2015-03-25 11:47:00,11,2,1,1
2015-03-25 11:48:00,10,4,0,1
2015-03-25 11:49:00,7,3,0,1
2015-03-25 11:50:00,19,2,1,1
2015-03-25 11:51:00,5,5,1,0
2015-03-25 11:52:00,16,2,4,1
2015-03-25 11:53:00,16,2,3,1
2015-03-25 11:54:00,9,4,0,0
2015-03-25 11:55:00,11,4,1,2
2015-03-25 11:56:00,13,5,1,2
2015-03-25 11:57:00,9,3,0,1
2015-03-25 11:59:00,13,1,3,0
2015-03-25 12:00:00,8,4,1,1
2015-03-25 12:01:00,19,3,0,1
2015-03-25 12:02:00,14,5,0,0
2015-03-25 12:03:00,9,2,0,1
2015-03-25 12:04:00,12,5,3,1
2015-03-25 12:05:00,22,2,1,1
2015-03-25 12:06:00,11,3,4,0
2015-03-25 12:07:00,11,3,1,1
2015-03-25 12:08:00,11,3,2,0
2015-03-25 12:09:00,11,3,3,0
2015-03-25 12:10:00,23,1,1,1
2015-03-25 12:11:00,8,3,2,0
2015-03-25 12:12:00,9,2,0,1
2015-03-25 12:13:00,15,4,1,0
2015-03-25 12:14:00,10,2,3,0
2015-03-25 12:15:00,9,5,1,0
2015-03-25 12:16:00,12,5,1,0
2015-03-25 12:17:00,20,5,2,2
2015-03-25 12:18:00,14,4,1,1
2015-03-25 12:19:00,22,1,1,1
2015-03-25 12:20:00,14,3,1,0
2015-03-25 12:21:00,22,5,3,0
2015-03-25 12:22:00,14,3,3,0
2015-03-25 12:23:00,8,1,1,0
2015-03-25 12:24:00,10,3,4,0
2015-03-25 12:25:00,8,3,2,1
2015-03-25 12:26:00,7,3,1,1
2015-03-25 12:27:00,18,7,4,0
2015-03-25 12:28:00,14,4,1,2
2015-03-25 12:50:00,12,5,0,1
2015-03-25 12:51:00,12,1,1,1
2015-03-25 12:52:00,10,2,5,0
2015-03-25 12:53:00,15,5,1,0
2015-03-25 12:54:00,20,2,0,0
2015-03-25 12:55:00,13,1,2,0
2015-03-25 12:56:00,12,1,1,0
2015-03-25 12:57:00,13,3,2,0
2015-03-25 12:58:00,13,3,2,1
2015-03-25 12:59:00,18,6,0,0
